test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
abas3_parent,ABAS-3 Parent,Social Index,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,standard_score,The ability to interact with others (both peers and adults) in a positive and productive way
abas3_self,ABAS-3 Self,Communication,Adaptive Functioning,Conceptual,Communication,,,,rating_scale,scaled_score,"Communication skills (including speech, listening, conversation, and nonverbal communication)"
abas3_self,ABAS-3 Self,Conceptual Skills Index,Adaptive Functioning,Conceptual,Conceptual Skills Index,,,,rating_scale,standard_score,"Conceptual skills's involve the ability to use language, reason, and solve problems"
abas3_self,ABAS-3 Self,Functional Pre-Academics,Adaptive Functioning,Conceptual,Functional Pre-Academics,,,,rating_scale,scaled_score,"Functional pre-academics (performing basic pre-academic skills that form the foundations of higher-level reading, writing, and mathematics)"
abas3_self,ABAS-3 Self,Self-Direction,Adaptive Functioning,Conceptual,Self-Direction,,,,rating_scale,scaled_score,"Self-direction skills (e.g., the ability to make independent choices, exhibit self-control, and take responsibility when appropriate)"
abas3_self,ABAS-3 Self,General Adaptive Composite (GAC),Adaptive Functioning,General Adaptive Functioning,General Adaptive Index,,,,rating_scale,standard_score,The patient's current overall level of adaptive behavior
abas3_self,ABAS-3 Self,Community Use,Adaptive Functioning,Practical,Community Use,,,,rating_scale,scaled_score,A child's ability to function in the community and to express knowledge of and interest in activities outside the home
abas3_self,ABAS-3 Self,Health and Safety,Adaptive Functioning,Practical,Health and Safety,,,,rating_scale,scaled_score,Their ability to address personal and health needs (self reported)
abas3_self,ABAS-3 Self,Home Living,Adaptive Functioning,Practical,Home Living,,,,rating_scale,scaled_score,"Their level of functioning inside the home, including helping adults with household chores and taking care of personal possessions"
abas3_self,ABAS-3 Self,Practical Skills Index,Adaptive Functioning,Practical,Practical Skills Index,,,,rating_scale,standard_score,"The patient's score on the Practical skills composite, which involves the ability to take care of oneself, manage money, and get around in the community"
abas3_self,ABAS-3 Self,Self-Care,Adaptive Functioning,Practical,Self-Care,,,,rating_scale,scaled_score,"Their ability to perform self-care activities such as eating, dressing, and taking care of personal hygiene"
abas3_self,ABAS-3 Self,Motor,Adaptive Functioning,Sensorimotor,Motor,,,,rating_scale,scaled_score,An assessment of their age-appropriate motor skills
abas3_self,ABAS-3 Self,Leisure,Adaptive Functioning,Social,Leisure,,,,rating_scale,scaled_score,"Leisure skills: the capacity to use free time during the school day productively or interactively, and the capacity to engage in play and recreational activities for fun"
abas3_self,ABAS-3 Self,Social,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,scaled_score,"Social was a strength; may have difficulty interacting socially, initiating and maintaining friendships, and expressing and recognizing emotions"
abas3_self,ABAS-3 Self,Social Index,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,standard_score,The ability to interact with others (both peers and adults) in a positive and productive way
bai,BAI,BAI Total Score,Behavioral/Emotional/Social,Anxiety,Mood/Anxiety,,,,rating_scale,t_score,"A brief, self-report assessment for measuring anxiety severity and level"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Activities of Daily Living,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Able to adequately perform simple daily tasks in a safe and efficient manner (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Adaptability,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptation to most situations and able to quickly recover from situations that are difficult (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Adaptive Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptive skills composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Functional Communication,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Exhibits appropriate expressive and receptive communication skills and displays a strong ability to seek out and find new information independently (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Social Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Socially adept and at ease (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Leadership,Behavioral/Emotional/Social,Adaptive Skills,Social,,,,rating_scale,t_score,"Creative, works well under pressure, and/or can effectively unite others to work together (parent rated)"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Atypicality,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,,,,rating_scale,t_score,"Demonstration of clear, logical thought patterns and a general awareness of surroundings (parent rated)"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Withdrawal,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,,,,rating_scale,t_score,Avoid social situations and appears to be capable of developing and maintaining friendships with others (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Attention Problems,Behavioral/Emotional/Social,Behavioral Symptoms Index,ADHD/Executive,,,,rating_scale,t_score,Maintain necessary levels of attention (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral Symptoms Index,Behavioral/Emotional/Social,Behavioral Symptoms Index,Behavioral Problems,,,,rating_scale,t_score,Behavioral symptoms index composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Hyperactivity,Behavioral/Emotional/Social,Externalizing Problems,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
basc3_prs_adolescent,BASC-3 PRS Adolescent,Aggression,Behavioral/Emotional/Social,Externalizing Problems,Aggressive Behavior,,,,rating_scale,t_score,Ratings of aggressive behavior and to act aggressively
basc3_prs_adolescent,BASC-3 PRS Adolescent,Conduct Problems,Behavioral/Emotional/Social,Externalizing Problems,Antisocial,,,,rating_scale,t_score,Rule-breaking behavior (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Externalizing Problems,Behavioral/Emotional/Social,Externalizing Problems,Disruptive Behavior,,,,rating_scale,t_score,Externalizing problems composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Anxiety,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Anxiety-based behaviors (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Internalizing Problems,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Internalizing problems composite scale (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Somatization,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Health-related problems (parent rated)
basc3_prs_adolescent,BASC-3 PRS Adolescent,Depression,Behavioral/Emotional/Social,Internalizing Problems,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress (parent)"
basc3_prs_child,BASC-3 PRS Child,Activities of Daily Living,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Able to adequately perform simple daily tasks in a safe and efficient manner (parent rated)
basc3_prs_child,BASC-3 PRS Child,Adaptability,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adapting to most situations and takes longer to recover from difficult situations
basc3_prs_child,BASC-3 PRS Child,Adaptive Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptive skills composite scale
basc3_prs_child,BASC-3 PRS Child,Functional Communication,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Expressive and receptive communication skills and an ability to seek out and find new information independently
basc3_prs_child,BASC-3 PRS Child,Social Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Complimenting others and making suggestions for improvement in a tactful and socially acceptable manner
basc3_prs_child,BASC-3 PRS Child,Atypicality,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,,,,rating_scale,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
basc3_prs_child,BASC-3 PRS Child,Withdrawal,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,,,,rating_scale,t_score,Avoidant of social situations and appears to be capable of developing and maintaining friendships with others
basc3_prs_child,BASC-3 PRS Child,Attention Problems,Behavioral/Emotional/Social,Behavioral Symptoms Index,ADHD/Executive,,,,rating_scale,t_score,Maintaining necessary levels of attention
basc3_prs_child,BASC-3 PRS Child,Behavioral Symptoms Index,Behavioral/Emotional/Social,Behavioral Symptoms Index,Behavioral Problems,,,,rating_scale,t_score,Behavioral symptoms index composite scale
basc3_prs_child,BASC-3 PRS Child,Hyperactivity,Behavioral/Emotional/Social,Externalizing Problems,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
basc3_prs_child,BASC-3 PRS Child,Aggression,Behavioral/Emotional/Social,Externalizing Problems,Aggressive Behavior,,,,rating_scale,t_score,Ratings of aggressive behavior and to act aggressively
basc3_prs_child,BASC-3 PRS Child,Externalizing Problems,Behavioral/Emotional/Social,Externalizing Problems,Externalizing Problems,,,,rating_scale,t_score,Externalizing problems composite scale
basc3_prs_child,BASC-3 PRS Child,Anxiety,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Anxiety-based behaviors (parent rated)
basc3_prs_child,BASC-3 PRS Child,Internalizing Problems,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Internalizing problems composite scale
basc3_prs_child,BASC-3 PRS Child,Somatization,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Health-related problems
basc3_prs_child,BASC-3 PRS Child,Depression,Behavioral/Emotional/Social,Internalizing Problems,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
basc3_prs_preschool,BASC-3 PRS Preschool,Activities of Daily Living,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Able to adequately perform simple daily tasks in a safe and efficient manner (parent rated)
basc3_prs_preschool,BASC-3 PRS Preschool,Adaptability,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adapting to most situations and takes longer to recover from difficult situations
basc3_prs_preschool,BASC-3 PRS Preschool,Adaptive Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptive skills composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Functional Communication,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Expressive and receptive communication skills and an ability to seek out and find new information independently
basc3_prs_preschool,BASC-3 PRS Preschool,Social Skills,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Complimenting others and making suggestions for improvement in a tactful and socially acceptable manner
basc3_prs_preschool,BASC-3 PRS Preschool,Atypicality,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,,,,rating_scale,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
basc3_prs_preschool,BASC-3 PRS Preschool,Withdrawal,Behavioral/Emotional/Social,Behavioral Symptoms Index,Adaptive/Social Behavior,,,,rating_scale,t_score,Avoidant of social situations and appears to be capable of developing and maintaining friendships with others
basc3_prs_preschool,BASC-3 PRS Preschool,Attention Problems,Behavioral/Emotional/Social,Behavioral Symptoms Index,ADHD/Executive,,,,rating_scale,t_score,Maintaining necessary levels of attention
basc3_prs_preschool,BASC-3 PRS Preschool,Behavioral Symptoms Index,Behavioral/Emotional/Social,Behavioral Symptoms Index,Behavioral Problems,,,,rating_scale,t_score,Behavioral symptoms index composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Hyperactivity,Behavioral/Emotional/Social,Externalizing Problems,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
basc3_prs_preschool,BASC-3 PRS Preschool,Aggression,Behavioral/Emotional/Social,Externalizing Problems,Aggressive Behavior,,,,rating_scale,t_score,Ratings of aggressive behavior and to act aggressively
basc3_prs_preschool,BASC-3 PRS Preschool,Externalizing Problems,Behavioral/Emotional/Social,Externalizing Problems,Externalizing Problems,,,,rating_scale,t_score,Externalizing problems composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Anxiety,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Anxiety-based behaviors
basc3_prs_preschool,BASC-3 PRS Preschool,Internalizing Problems,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Internalizing problems composite scale
basc3_prs_preschool,BASC-3 PRS Preschool,Somatization,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Health-related problems
basc3_prs_preschool,BASC-3 PRS Preschool,Depression,Behavioral/Emotional/Social,Internalizing Problems,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Emotional Symptoms Index,Behavioral/Emotional/Social,Emotional Symptoms Index,Emotion/Mood,,,,rating_scale,t_score,Emotional Symptoms Index composite scale
basc3_srp_adolescent,BASC-3 SRP Adolescent,Attention Problems,Behavioral/Emotional/Social,Inattention/Hyperactivity,ADHD/Executive,,,,rating_scale,t_score,Tendency to be easily distracted and unable to concentrate for an extended period of time
basc3_srp_adolescent,BASC-3 SRP Adolescent,Hyperactivity,Behavioral/Emotional/Social,Innattention/Hyperactivity,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Inattention/Hyperactivity,Behavioral/Emotional/Social,Innattention/Hyperactivity,ADHD/Executive,,,,rating_scale,t_score,Innattention/hyperactivity composite scale
basc3_srp_adolescent,BASC-3 SRP Adolescent,Atypicality,Behavioral/Emotional/Social,Internalizing Problems,Adaptive/Social Behavior,,,,rating_scale,t_score,"Behaviors that are considered strange or odd, and generally seems disconnected from their surroundings"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Anxiety,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,"Tendency to be nervous, fearful, or worried about real or imagined problems"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Internalizing Problems,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Internalizing Problems composite scale
basc3_srp_adolescent,BASC-3 SRP Adolescent,Somatization,Behavioral/Emotional/Social,Internalizing Problems,Mood/Anxiety,,,,rating_scale,t_score,Tendency to be overly sensitive or to complain about relatively minor physical problems/discomfort
basc3_srp_adolescent,BASC-3 SRP Adolescent,Depression,Behavioral/Emotional/Social,Internalizing Problems,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Locus of Control,Behavioral/Emotional/Social,Internalizing Problems,Personality,,,,rating_scale,t_score,Scale related to having little control over events occurring in his/her life and reports being blamed for things that he/she did not do
basc3_srp_adolescent,BASC-3 SRP Adolescent,Sense of Inadequacy,Behavioral/Emotional/Social,Internalizing Problems,Personality,,,,rating_scale,t_score,Tendency to feel unsuccessful or generally inadequate
basc3_srp_adolescent,BASC-3 SRP Adolescent,Social Stress,Behavioral/Emotional/Social,Internalizing Problems,Social,,,,rating_scale,t_score,Difficulty establishing and maintaining close relationships with others and reports being isolated and lonely
basc3_srp_adolescent,BASC-3 SRP Adolescent,Personal Adjustment,Behavioral/Emotional/Social,Personal Adjustment,Personality,,,,rating_scale,t_score,"A measure of an individual's overall adjustment, including their ability to handle stress, their emotional stability, and their sense of personal competence"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Self-Esteem,Behavioral/Emotional/Social,Personal Adjustment,Personality,,,,rating_scale,t_score,"Negative self-image, both in terms of personal and physical attributes"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Self-Reliance,Behavioral/Emotional/Social,Personal Adjustment,Personality,,,,rating_scale,t_score,Thinking that one is dependable and being confident of one's abilities
basc3_srp_adolescent,BASC-3 SRP Adolescent,Interpersonal Relations,Behavioral/Emotional/Social,Personal Adjustment,Social,,,,rating_scale,t_score,Feeling liked and respected by peers
basc3_srp_adolescent,BASC-3 SRP Adolescent,Relations with Parents,Behavioral/Emotional/Social,Personal Adjustment,Social,,,,rating_scale,t_score,Tendency to feel valued and supported by parents
basc3_srp_adolescent,BASC-3 SRP Adolescent,Sensation Seeking,Behavioral/Emotional/Social,School Problems,ADHD/Executive,,,,rating_scale,t_score,Tendency to take risks and seek excitement
basc3_srp_adolescent,BASC-3 SRP Adolescent,School Problems,Behavioral/Emotional/Social,School Problems,School/Academics,,,,rating_scale,t_score,School Problems composite scale
basc3_srp_adolescent,BASC-3 SRP Adolescent,Attitude to School,Behavioral/Emotional/Social,School Problems,School/Academics,,,,rating_scale,t_score,"Tendency to feel alienated, hostile, or dissatisfied toward school"
basc3_srp_adolescent,BASC-3 SRP Adolescent,Attitude to Teachers,Behavioral/Emotional/Social,School Problems,School/Academics,,,,rating_scale,t_score,Tendency to resent or dislike teachers or think they are unfair
bdi2,BDI-2,BDI-2 Total Score,Behavioral/Emotional/Social,Depression,Mood/Depression,,,,rating_scale,t_score,"A brief, self-report inventory designed to measure the severity of depression symptomatology"
brown_efa_self,Brown EF/A Scales,Action,ADHD,Executive Function,Action,,,,rating_scale,t_score,Monitoring and self-regulating action
brown_efa_self,Brown EF/A Scales,Activation,ADHD,Executive Function,Activation,,,,rating_scale,t_score,"Organizing, prioritizing, and activating to work"
brown_efa_self,Brown EF/A Scales,Effort,ADHD,Executive Function,Effort,,,,rating_scale,t_score,"Regulating alertness, sustaining effort, and adjusting processing speed"
brown_efa_self,Brown EF/A Scales,Emotion,ADHD,Executive Function,Emotion,,,,rating_scale,t_score,Managing frustration and modulating emotions
brown_efa_self,Brown EF/A Scales,Focus,ADHD,Executive Function,Focus,,,,rating_scale,t_score,"Focusing, sustaining, and shifting attention to tasks"
brown_efa_self,Brown EF/A Scales,Memory,ADHD,Executive Function,Memory,,,,rating_scale,t_score,Utilizing working memory and accessing recall
brown_efa_self,Brown EF/A Scales,Total Composite,ADHD,Executive Function,Overall Executive Function,,,,rating_scale,t_score,Overall indication of executive functioning
bsra4,BSRA-4,Colors,Academic Skills,School Readiness,Colors,Sequential,Verbal,Untimed,npsych_test,percent_mastery,"subtest measures the child's ability to identify primary colors, secondary colors, and basic color terms"
bsra4,BSRA-4,Letters,Academic Skills,School Readiness,Letters,Sequential,Verbal,Untimed,npsych_test,percent_mastery,subtest measures the child's ability to identify uppercase and lowercase letters
bsra4,BSRA-4,Numbers/Counting,Academic Skills,School Readiness,Numbers/Counting,Sequential,Verbal,Untimed,npsych_test,percent_mastery,"subtest measures the child's ability to identify one-, two-, and three-digit numbers; decimals; and fractions"
bsra4,BSRA-4,School Readiness Composite (SRC),Academic Skills,School Readiness,School Readiness Composite,,Verbal,Untimed,npsych_test,standard_score,A measure of the patient's understanding of academic and social concepts that provides an easy and reliable way to quantify overall school readiness
bsra4,BSRA-4,Self-/Social Awareness,Academic Skills,School Readiness,Self-/Social Awareness,Knowledge,Verbal,Untimed,npsych_test,percent_mastery,"subtest, used to evaluate the patient's ability to identify concepts referencing emotional states as well as items describing kinship, relative ages, and social appropriateness"
bsra4,BSRA-4,Shapes,Academic Skills,School Readiness,Shapes,Simultaneous,Verbal,Untimed,npsych_test,percent_mastery,"subtest measures the child's ability to identify one-, two-, and three-dimensional shapes"
bsra4,BSRA-4,Sizes/Comparisons,Academic Skills,School Readiness,Sizes/Comparisons,Simultaneous,Verbal,Untimed,npsych_test,percent_mastery,"The child's ability to identify one-, two-, or three-dimensional concepts as well as the ability to match, differentiate, or compare objects based on one or more of their characteristics"
caars2_observer,CAARS-2 Observer,ADHD Index,ADHD,ADHD Index,ADHD Index Observer,,,,rating_scale,t_score,composite indicator for identifying individuals 'at-risk' for ADHD (observer reported)
caars2_observer,CAARS-2 Observer,CAARS 2-ADHD Index,ADHD,ADHD Index,CAARS2 ADHD Index Observer,,,,rating_scale,t_score,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
caars2_observer,CAARS-2 Observer,Inattention/Executive Dysfunction,ADHD,Attention Problems,Executive Dysfunction,,,,rating_scale,t_score,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
caars2_observer,CAARS-2 Observer,ADHD Inattentive Symptoms,ADHD,Attention Problems,Inattention Observer,,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
caars2_observer,CAARS-2 Observer,Emotional Dysregulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,t_score,"i.e., has a hard time calming down, has trouble hiding their emotions"
caars2_observer,CAARS-2 Observer,Hyperactivity,ADHD,Hyperactivity,Hyperactivity,,,,rating_scale,t_score,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
caars2_observer,CAARS-2 Observer,ADHD Hyperactive/Impulsive Symptoms,ADHD,Hyperactivity/Impulsivity,H/I Observer,,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
caars2_observer,CAARS-2 Observer,Impulsivity,ADHD,Impulsivity,Impulsivity,,,,rating_scale,t_score,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
caars2_observer,CAARS-2 Observer,Negative Self-Concept,ADHD,Self-Concept,Self-Esteem,,,,rating_scale,t_score,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_observer,CAARS-2 Observer,Total ADHD Symptoms,ADHD,Total ADHD Symptoms,Combined Symptoms,,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
caars2_self,CAARS-2 Self,CAARS 2-ADHD Index,ADHD,ADHD Index,CAARS2 ADHD Index Observer,,,,rating_scale,t_score,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
caars2_self,CAARS-2 Self,ADHD Inattentive Symptoms,ADHD,Attention Problems,Inattention Self,,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
caars2_self,CAARS-2 Self,Inattention/Executive Dysfunction,ADHD,Attention/Executive,Inattention,,,,rating_scale,t_score,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
caars2_self,CAARS-2 Self,Emotional Dysregulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,t_score,"i.e., has a hard time calming down, has trouble hiding their emotions"
caars2_self,CAARS-2 Self,Hyperactivity,ADHD,Hyperactivity,Hyperactivity,,,,rating_scale,t_score,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
caars2_self,CAARS-2 Self,ADHD Hyperactive/Impulsive Symptoms,ADHD,Hyperactivity/Impulsivity,H/I Self,,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
caars2_self,CAARS-2 Self,Impulsivity,ADHD,Impulsivity,Impulsivity,,,,rating_scale,t_score,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
caars2_self,CAARS-2 Self,Negative Self-Concept,ADHD,Self-Concept,Self-Esteem,,,,rating_scale,t_score,"i.e., poor social relationships, low self-esteem and self confidence"
caars2_self,CAARS-2 Self,Total ADHD Symptoms,ADHD,Total ADHD Symptoms,Combined Symptoms,,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
cars2,CARS-2,Activity Level,Social Cognition,Autism Spectrum,Activity Level,,,,rating_scale,raw_score,CARS-2 Activity Level
cars2,CARS-2,Adaptation to Change,Social Cognition,Autism Spectrum,Adaptation to Change,,,,rating_scale,raw_score,CARS-2 Adaptation to Change
cars2,CARS-2,General Impressions,Social Cognition,Autism Spectrum,ASD Impression,,,,rating_scale,raw_score,CARS-2 General Impressions
cars2,CARS-2,Body Use,Social Cognition,Autism Spectrum,Body Use,,,,rating_scale,raw_score,CARS-2 Body Use
cars2,CARS-2,CARS-2 Total Score,Social Cognition,Autism Spectrum,CARS-2 Total Score,,,,rating_scale,raw_score,A semi-structured interview of high-functioning ASD
cars2,CARS-2,Emotional Response,Social Cognition,Autism Spectrum,Emotional Response,,,,rating_scale,raw_score,CARS-2 Emotional Response
cars2,CARS-2,Imitation,Social Cognition,Autism Spectrum,Imitation,,,,rating_scale,raw_score,CARS-2 Imitation
cars2,CARS-2,Level of Consistency of Intellectual Response,Social Cognition,Autism Spectrum,Intellectual Consistency,,,,rating_scale,raw_score,CARS-2 Level of Consistency of Intellectual Response
cars2,CARS-2,Listening Response,Social Cognition,Autism Spectrum,Listening Response,,,,rating_scale,raw_score,CARS-2 Listening Response
